kon222,koff,statistic,kd
1000000000.0,0.1,100.0,1e-10
100000000.0,0.01,100.0,1e-10
1000000.0,0.0001,36.0,1e-10
1000000.0,0.001,36.0,1e-09
1000000.0,0.01,36.0,1e-08
1000000.0,0.1,35.0,1.0000000000000001e-07
1000000.0,1.0,24.0,1e-06
10000000.0,0.0001,95.0,1.0000000000000001e-11
10000000.0,0.001,95.0,1e-10
10000000.0,0.01,95.0,1e-09
10000000.0,0.1,92.0,1e-08
10000000.0,1.0,78.0,1e-07
100000000.0,0.0001,100.0,1e-12
100000000.0,0.001,100.0,1.0000000000000001e-11
100000000.0,0.01,100.0,1e-10
100000000.0,0.1,99.0,1e-09
100000000.0,1.0,92.0,1e-08
1000000000.0,0.0001,100.0,1e-13
1000000000.0,0.001,100.0,1e-12
1000000000.0,0.01,100.0,1.0000000000000001e-11
1000000000.0,0.1,100.0,1e-10
1000000000.0,1.0,98.0,1e-09
10000000000.0,0.0001,100.0,1e-14
10000000000.0,0.001,100.0,1e-13
10000000000.0,0.01,100.0,1e-12
10000000000.0,0.1,100.0,1.0000000000000001e-11
10000000000.0,1.0,98.0,1e-10
100000000.0,0.01,100.0,1e-10
100000000.0,0.01,100.0,1e-10
100000000.0,0.01,100.0,1e-10
